T32,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
9,Oceania,2015,Percentage of individuals using the internet,65.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
9,Oceania,2018,Percentage of individuals using the internet,69.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
9,Oceania,2019,Percentage of individuals using the internet,70.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
9,Oceania,2020,Percentage of individuals using the internet,71.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
53,Australia and New Zealand,2000,Percentage of individuals using the internet,46.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
53,Australia and New Zealand,2005,Percentage of individuals using the internet,63.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
53,Australia and New Zealand,2010,Percentage of individuals using the internet,76.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
53,Australia and New Zealand,2015,Percentage of individuals using the internet,84.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
53,Australia and New Zealand,2018,Percentage of individuals using the internet,87.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
53,Australia and New Zealand,2019,Percentage of individuals using the internet,88.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
53,Australia and New Zealand,2020,Percentage of individuals using the internet,89.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
4,Afghanistan,2005,Percentage of individuals using the internet,1.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
4,Afghanistan,2010,Percentage of individuals using the internet,4.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
4,Afghanistan,2015,Percentage of individuals using the internet,8.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
4,Afghanistan,2018,Percentage of individuals using the internet,16.8,Estimate.;Population aged 18 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
4,Afghanistan,2019,Percentage of individuals using the internet,17.6,Estimate.;Population aged 18 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
4,Afghanistan,2020,Percentage of individuals using the internet,18.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
8,Albania,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
8,Albania,2005,Percentage of individuals using the internet,6.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
8,Albania,2010,Percentage of individuals using the internet,45.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
8,Albania,2015,Percentage of individuals using the internet,56.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
8,Albania,2018,Percentage of individuals using the internet,65.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
8,Albania,2019,Percentage of individuals using the internet,68.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
8,Albania,2020,Percentage of individuals using the internet,72.2,Estimated based on % of internet users between 16-74.;Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
12,Algeria,2000,Percentage of individuals using the internet,0.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
